year,month,sales,newspaper,magazine,radio,tv
2012,1,2381,20,504,24,0
2012,2,1765,113,17,51,0
2012,3,2072,49,196,266,0
2012,4,2183,482,170,63,0
2012,5,2085,111,322,265,0
2012,6,1990,262,49,10,0
2012,7,2094,45,181,298,199
2012,8,2254,76,330,1340,577
2012,9,1873,177,422,65,120
2012,10,1997,4,526,276,146
2012,11,2150,16,129,536,279
2012,12,2257,381,135,323,366
2013,1,2313,0,0,242,381
2013,2,1880,0,0,3,10
2013,3,2175,0,0,105,1303
2013,4,2117,0,0,87,520
2013,5,2142,0,0,74,593
2013,6,2098,0,0,182,600
2013,7,2100,0,0,177,403
2013,8,2138,0,0,183,673
2013,9,2285,0,0,448,537
2013,10,2167,0,0,281,278
2013,11,2221,0,0,653,113
2013,12,2286,0,0,746,43
2014,1,2568,0,0,389,0
2014,2,1821,0,0,35,0
2014,3,2200,0,1,1016,0
2014,4,2193,0,0,754,0
2014,5,2203,0,0,819,0
2014,6,2192,0,0,755,0
2014,7,2121,0,0,532,0
2014,8,2232,0,0,702,0
2014,9,2420,0,0,938,0
2014,10,2224,0,9,824,0
2014,11,2255,0,0,672,0
2014,12,2540,0,270,760,0
2015,1,2575,130,8,1164,0
2015,2,2135,11,34,262,0
2015,3,2133,119,348,576,0
2015,4,2137,158,1038,157,0
2015,5,2138,507,86,2,0
2015,6,2233,0,0,138,286
2015,7,2219,0,0,292,251
2015,8,2181,0,0,75,280
2015,9,1954,0,0,152,82
2015,10,2235,0,0,117,196
2015,11,2008,0,0,250,153
2015,12,2157,0,0,74,226
